"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1782318893794828660","Mon Apr 22 09:30:27 +0000 2024","0","@Dahnilanzar @prabowo @gibran_tweet @aniesbaswedan @cakimiNOW @ganjarpranowo @mohmahfudmd Semoga pak prabowo sehat dan panjang umur.","1782341183479652639","","Dahnilanzar","in","","0","0","0","https://twitter.com/yenyali/status/1782341183479652639","48529276","yenyali"
"1782341175627907299","Mon Apr 22 09:30:25 +0000 2024","0","Info ngantemi Gibran","1782341175627907299","","","in","Central Java, Indonesia","0","0","0","https://twitter.com/GreLwy10RbJ/status/1782341175627907299","1604436024498696192","GreLwy10RbJ"
"1782341172616462458","Mon Apr 22 09:30:24 +0000 2024","0","Selamat pak @prabowo dan pak @gibran_tweet Dari saya anggota kpps yang gak sempet nyoblos karena keteteran nulis akhirnya tlp adek minta tolong wakilin wkwk. Partner kpps @pitidunham yang nyoblosnya juga buru2 karena keteteran jg Selamat min @Gerindra ","1782341172616462458","","","in","","0","0","0","https://twitter.com/cantikbangeettt/status/1782341172616462458","1220415389793865729","cantikbangeettt"
"1782283061243330993","Mon Apr 22 09:30:08 +0000 2024","0","@TheEagle_BEN @prabowo @gibran_tweet Lu tolakpun ga masalah.. emang lu siapeee ","1782341104295362640","","TheEagle_BEN","in","West Papua, Indonesia","0","0","0","https://twitter.com/ALeEnton_EF/status/1782341104295362640","705630844493238273","ALeEnton_EF"
"1782341073085313354","Mon Apr 22 09:30:00 +0000 2024","0","#InfoTerkini di #SantaiSore : - Mobil Terjebak di Kalikuning Merapi karena Sopir Nekat - MK Tolak Gugatan Anies &amp; Ganjar Prabowo-Gibran Pemenang Pilpres 2024 - Terdampak Erupsi Gunung Ruang Landasan Pacu Bandara Sam Ratulangi Dibersihkan Streaming: https://t.co/wDaw4OQz5b","1782341073085313354","","","in","Jogja IZtimewa","0","0","0","https://twitter.com/895jizfm/status/1782341073085313354","251865062","895jizfm"
"1782341038017049068","Mon Apr 22 09:29:52 +0000 2024","0","Selamat buat paslon Prabowo - Gibran atas ketetapan putusan MK yg menolak permohonan dr paslon Anies-Imin dan Ganjar - Mahfud. Semoga kita tidak berjumpa lagi di Hak Angket DPR. https://t.co/10rbBk6KvI","1782341038017049068","https://pbs.twimg.com/media/GLwlulKbIAAgEJw.jpg","","in","Jakarta Capital Region","0","0","0","https://twitter.com/surupsrengenge/status/1782341038017049068","1107284077843890176","surupsrengenge"
"1782334368134119734","Mon Apr 22 09:29:45 +0000 2024","0","@Iyo63579667 @islah_bahrawi @gibran_tweet Pemalas lu..!! https://t.co/WUIaOFSLRO","1782341007805411755","https://pbs.twimg.com/ext_tw_video_thumb/1782340862707658752/pu/img/7IGEbgjyUWTx-5XG.jpg","Iyo63579667","in","","0","0","0","https://twitter.com/rtobg71/status/1782341007805411755","1745326212350869504","rtobg71"
"1782283061243330993","Mon Apr 22 09:29:40 +0000 2024","0","@TheEagle_BEN @prabowo @gibran_tweet Setuju gue aja jijik","1782340987823808976","","TheEagle_BEN","in","","0","0","0","https://twitter.com/DeniimoT85240/status/1782340987823808976","1752601654221066240","DeniimoT85240"
"1782340970702647681","Mon Apr 22 09:29:36 +0000 2024","0","Anying masih gak kebayang itu Figura isi Foto Gibran Samsul terpajang di dinding SD jadi suri tauladan bahwa gak perlu nilai akademik tinggi untuk jadi Pemimpin penting dan betapa membayangkan betapa getirnya dinding kantor KOMNASHAM memajang Foto Prabowo heuheuheu.","1782340970702647681","","","in","Garut, Indonesia","0","0","0","https://twitter.com/HendiPermana96/status/1782340970702647681","107937295","HendiPermana96"
"1782251302418018453","Mon Apr 22 09:29:28 +0000 2024","0","@MTaufiq_NTB Gibran jualan martabak saja .. jangan jadi walikota atau wapres Kalau begitu....","1782340937399840874","","MTaufiq_NTB","in","Jakarta ","0","0","0","https://twitter.com/RakyatJ03058307/status/1782340937399840874","1668627868790956034","RakyatJ03058307"
"1782340893032505595","Mon Apr 22 09:29:17 +0000 2024","0","Tolong di baca mas gibran @gibran_tweet ada perlu dievaluasi di penegak hukum terutama polda bali polresta denpasar dan polres malang kota https://t.co/d9doCqLaq9","1782340893032505595","https://pbs.twimg.com/media/GLwlmJ6bQAAJGKq.jpg","","in","JKT, INDONESIA","0","0","0","https://twitter.com/SpursHoly/status/1782340893032505595","116113633","SpursHoly"
"1782274776163401855","Mon Apr 22 09:29:16 +0000 2024","0","@KompasTV Dengan menunjuk anaknya dan melibatkan ipar untuk merubah UU batas usia Capres Cawapres....itu bukna nepotisme? Tolong dijelaskan pelan2 dasarnya gimana? Merasa tidak menunjuk krn gibran dipilih? Oleh siapa? Andai bukan anak penguasa apa kira2 bisa secepat itu prosesnya?","1782340888989229475","","KompasTV","in","","0","0","0","https://twitter.com/apramudyanto/status/1782340888989229475","197352795","apramudyanto"
"1782274776163401855","Mon Apr 22 09:29:16 +0000 2024","0","@RGustamala @KompasTV Pertanyaan awal yg simple aja sih merubah UU demi Gibran jadi cawapres kira2 bener gk?","1782340885851902146","","RGustamala","in","","0","0","0","https://twitter.com/ojo_ruwet/status/1782340885851902146","1697016498","ojo_ruwet"
