created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Feb 04 15:08:33 +0000 2024;1754160019145380157;"Pemilu 10 hari lagi, masih ada waktu buat cari tau background juga visi misi. Bisa juga tonton ulang debat” sebelumnya yang diadain kpu maupun yang lainnya.  Yuk jangan apatis, presiden ga mempimpin beberapa hari atau minggu aja tapi beberapa tahun ke depan. Kita yang-";0;1;0;0;in;1667108295902109696;1754160019145380157;tiarabudi_;https://twitter.com/tiarabudi_/status/1754160019145380157
Sun Feb 04 15:08:32 +0000 2024;1754160014644936981;"@ainunnajib Siapin lg Kawal Pemilu mas 👍🏻";0;0;0;0;in;1243360144815095808;1754158031498314056;Ardhi_addhi;https://twitter.com/Ardhi_addhi/status/1754160014644936981
Sun Feb 04 15:08:22 +0000 2024;1754159969535213798;"Eh gimana sih filter timeline twitter? Gue mau timeline gue ttg kpop, hyegwan sama kbl aja wkwkwk gamau tentang pemilu 🤣";0;0;0;0;in;85046621;1754159969535213798;Rielettle;https://twitter.com/Rielettle/status/1754159969535213798
Sun Feb 04 15:08:20 +0000 2024;1754159961163386913;"Politik Mulai Hangat Jelang Pemilu, AHY: Kita Ingin Indonesia Damai dan Rukun.. xgf  AgusYudhoyono PDemokrat Demokrat Pro Rakyat https://t.co/05EsCyVdxA";0;0;0;0;in;739900524430909440;1754159961163386913;kashthompson009;https://twitter.com/kashthompson009/status/1754159961163386913
Sun Feb 04 15:08:15 +0000 2024;1754159941919916428;"Soalnya 2 pemilu golput karena males ngurus pindah milih 🤣";0;0;0;0;in;284893296;1754159747681694076;ari_tantowi;https://twitter.com/ari_tantowi/status/1754159941919916428
Sun Feb 04 15:08:10 +0000 2024;1754159921766285528;"@roseanneitgirl @Nahla_Aurora @Riweh_Banget Kak itu bahkan sebelum ada pemilu ini dan juga kiky pendukung 01 jika lupa";0;0;0;0;in;1455163059865997312;1754131309440708927;Jnoole1;https://twitter.com/Jnoole1/status/1754159921766285528
Sun Feb 04 15:08:08 +0000 2024;1754159912274518441;"@aMrazing Mungkin mereka mikir, bentar lg udah mulai musim kampanye tenang. Gak usah debat yg keras2. Toh semua orang udah punya pilihan masing-masing. Biar jadi contoh para akar rumput utk pemilu yg damai. Ya walaupun akar rumput mah tetap bergejolak hehe..";0;0;0;0;in;85593193;1754158444851171780;adit__y;https://twitter.com/adit__y/status/1754159912274518441
Sun Feb 04 15:08:07 +0000 2024;1754159909414097255;"ada kali 2-5 grup yg gw tinggalin gara² politik menjelang pemilu ini! huh! biarin aja~";0;0;0;0;in;1506655177570349059;1754159909414097255;tequilanuts;https://twitter.com/tequilanuts/status/1754159909414097255
Sun Feb 04 15:08:04 +0000 2024;1754159895623164182;"Asli serem bgt pemilu kali ini. Beda pilihan aja jd kitanya yg diroasting dan diceramahin. Padahal hak tiap orang gasih mo pilih siapa. Takoot";0;0;0;0;in;1099535287363854336;1754159895623164182;Jjyachan;https://twitter.com/Jjyachan/status/1754159895623164182
Sun Feb 04 15:07:54 +0000 2024;1754159852191125740;"Sher momen lucu debat kali ini dong";0;0;0;0;in;774791320443301888;1754159852191125740;GusGus219;https://twitter.com/GusGus219/status/1754159852191125740
