"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1784137689148883205","Sat Apr 27 08:41:43 +0000 2024","0","@hidahidaan Tapi pensiunan projo mau buat relawan gibran ... bakal rame terus","1784140862353777053","","hidahidaan","in","INDONESIA","0","1","0","https://twitter.com/Kasayanto_/status/1784140862353777053","1492079136","Kasayanto_"
"1784140840618917934","Sat Apr 27 08:41:38 +0000 2024","0","IDM sangat penting dalam proses pembangunan Desa #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @Kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/GBiKIaBRLa https://t.co/dPJE8NXQuN","1784140840618917934","https://pbs.twimg.com/media/GMKKogEagAADoiC.jpg","","in","Sumenep, Jawa Timur","0","0","0","https://twitter.com/Sawasipld/status/1784140840618917934","1603909691276656640","Sawasipld"
"1784140834776236245","Sat Apr 27 08:41:37 +0000 2024","0","Pendataan IDM Kemendesa PDTT rutin dilaksanakan oleh TPP berkolaborasi dengan stakeholder terbukti mendapat apresiasi dari berbagai pihak. #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @azzameldzikrie https://t.co/ImFhgv6u8n","1784140834776236245","https://pbs.twimg.com/media/GMKKm8fbAAAYxIp.jpg","","in","","0","0","0","https://twitter.com/KedurangL/status/1784140834776236245","1618233201977348096","KedurangL"
"1784107403409285152","Sat Apr 27 08:41:12 +0000 2024","0","@gregoryalfared @SenderLabs Gak bisa satset","1784140728656146565","","gregoryalfared","in","","0","0","0","https://twitter.com/gibranarshaka20/status/1784140728656146565","1749415557487857664","gibranarshaka20"
"1784140678634905837","Sat Apr 27 08:41:00 +0000 2024","0","Prabowo-Gibran Kemaruk Jabatan?.","1784140678634905837","","","in","","0","0","0","https://twitter.com/Zaenal58788427/status/1784140678634905837","1573632007749263360","Zaenal58788427"
"1784140589874749836","Sat Apr 27 08:40:39 +0000 2024","0","@gibran_tweet benerin bisa kalii..","1784140589874749836","","gibran_tweet","in","Wonosobo, Jawa Tengah","0","0","0","https://twitter.com/muhamm_luqman/status/1784140589874749836","85948514","muhamm_luqman"
"1783806160883286043","Sat Apr 27 08:40:35 +0000 2024","0","@sukardiyahya162 @gibran_tweet @ganjarpranowo @mohmahfudmd Ente ente pler kwkwkkww","1784140573693382954","","sukardiyahya162","in","Medan Kota, Indonesia","1","0","0","https://twitter.com/iotganteng/status/1784140573693382954","244539906","iotganteng"
"1784140451983118722","Sat Apr 27 08:40:06 +0000 2024","0","Gegara Hal Ini Kekuatan Prabowo-Gibran diyakini Bertambah Berkali Lipat https://t.co/EUXz6a0npv","1784140451983118722","","","in","Pekanbaru","0","0","0","https://twitter.com/Riau24Com/status/1784140451983118722","788744100","Riau24Com"
"1784029869611053351","Sat Apr 27 08:39:42 +0000 2024","0","@kansasrisky_ @SenderLabs Tetep semangat","1784140351252681042","","kansasrisky_","in","","0","0","0","https://twitter.com/gibranarshaka20/status/1784140351252681042","1749415557487857664","gibranarshaka20"
"1784140259187736813","Sat Apr 27 08:39:20 +0000 2024","0","Prabowo Gibran Bisa Apa?.","1784140259187736813","","","in","","0","0","0","https://twitter.com/Zaenal58788427/status/1784140259187736813","1573632007749263360","Zaenal58788427"
